Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Punjab,2003,Burglary - Property,3. Burglary,797.0,2094,19620531.0,86923821
Rajasthan,2003,Burglary - Property,3. Burglary,1588.0,5779,50150183.0,129565091
Sikkim,2003,Burglary - Property,3. Burglary,7.0,48,318439.0,1546492
Tamil Nadu,2003,Burglary - Property,3. Burglary,2877.0,4849,55816582.0,111017636
Tripura,2003,Burglary - Property,3. Burglary,19.0,167,246425.0,2391169
Uttar Pradesh,2003,Burglary - Property,3. Burglary,752.0,2928,142320613.0,190722347
Uttarakhand,2003,Burglary - Property,3. Burglary,122.0,513,3045988.0,11715052
West Bengal,2003,Burglary - Property,3. Burglary,101.0,342,2966663.0,11762330
Andaman & Nicobar Islands,2004,Burglary - Property,3. Burglary,30.0,69,1779879.0,3208951
Andhra Pradesh,2004,Burglary - Property,3. Burglary,3451.0,8041,61730107.0,216381714
Arunachal Pradesh,2004,Burglary - Property,3. Burglary,41.0,215,1129291.0,6750572
Assam,2004,Burglary - Property,3. Burglary,414.0,2544,6262774.0,46224544
Bihar,2004,Burglary - Property,3. Burglary,277.0,3175,2380067.0,24846468
Chandigarh,2004,Burglary - Property,3. Burglary,75.0,186,1438860.0,11436390
Chhattisgarh,2004,Burglary - Property,3. Burglary,1151.0,3720,6060825.0,40581456
Dadra & Nagar Haveli,2004,Burglary - Property,3. Burglary,5.0,20,350014.0,1038871
Daman & Diu,2004,Burglary - Property,3. Burglary,8.0,35,99100.0,2489725
Delhi,2004,Burglary - Property,3. Burglary,772.0,1875,3181843.0,133196885
Goa,2004,Burglary - Property,3. Burglary,81.0,245,2210814.0,14288368
Gujarat,2004,Burglary - Property,3. Burglary,1308.0,5670,34432089.0,211383452
Haryana,2004,Burglary - Property,3. Burglary,1245.0,2779,32863180.0,67073579
Himachal Pradesh,2004,Burglary - Property,3. Burglary,148.0,722,4852642.0,20825219
Jammu & Kashmir,2004,Burglary - Property,3. Burglary,235.0,1420,8519470.0,34785380
Jharkhand,2004,Burglary - Property,3. Burglary,220.0,1419,1208261.0,10289240
Karnataka,2004,Burglary - Property,3. Burglary,1695.0,6093,50828582.0,174253060
Kerala,2004,Burglary - Property,3. Burglary,1126.0,4359,26572753.0,151987763
Lakshadweep,2004,Burglary - Property,3. Burglary,0.0,2,0.0,2160
Madhya Pradesh,2004,Burglary - Property,3. Burglary,3943.0,12130,33345035.0,145505628
Maharashtra,2004,Burglary - Property,3. Burglary,3952.0,13896,141098005.0,544644465
Manipur,2004,Burglary - Property,3. Burglary,6.0,66,851177.0,2760756
Meghalaya,2004,Burglary - Property,3. Burglary,19.0,130,245154.0,1991361
Mizoram,2004,Burglary - Property,3. Burglary,180.0,250,575000.0,758220
Nagaland,2004,Burglary - Property,3. Burglary,13.0,52,140245.0,1246138
Odisha,2004,Burglary - Property,3. Burglary,1127.0,2990,13227198.0,52807227
Puducherry,2004,Burglary - Property,3. Burglary,48.0,86,1419510.0,2828010
Punjab,2004,Burglary - Property,3. Burglary,666.0,1766,16682669.0,91624075
Rajasthan,2004,Burglary - Property,3. Burglary,1588.0,5619,39415095.0,108989033
Sikkim,2004,Burglary - Property,3. Burglary,12.0,64,397673.0,1054933
Tamil Nadu,2004,Burglary - Property,3. Burglary,2679.0,4147,76752113.0,124839785
Tripura,2004,Burglary - Property,3. Burglary,36.0,166,1348165.0,4918835
Uttar Pradesh,2004,Burglary - Property,3. Burglary,972.0,4192,99202552.0,173330606
Uttarakhand,2004,Burglary - Property,3. Burglary,100.0,516,3700267.0,14665091
West Bengal,2004,Burglary - Property,3. Burglary,129.0,547,3076728.0,12198178
Andaman & Nicobar Islands,2005,Burglary - Property,3. Burglary,25.0,68,705419.0,3418391
Andhra Pradesh,2005,Burglary - Property,3. Burglary,3578.0,7894,92930221.0,240127856
Arunachal Pradesh,2005,Burglary - Property,3. Burglary,56.0,263,1185696.0,7275247
Assam,2005,Burglary - Property,3. Burglary,523.0,2255,7068609.0,29458429
Bihar,2005,Burglary - Property,3. Burglary,311.0,3117,3584517.0,34869204
Chandigarh,2005,Burglary - Property,3. Burglary,105.0,223,2806616.0,7108230
Chhattisgarh,2005,Burglary - Property,3. Burglary,1186.0,3621,11063089.0,51741764
Dadra & Nagar Haveli,2005,Burglary - Property,3. Burglary,9.0,25,5162150.0,6257250
Daman & Diu,2005,Burglary - Property,3. Burglary,5.0,37,365000.0,2514680
Delhi,2005,Burglary - Property,3. Burglary,871.0,2093,8172281.0,198019747
Goa,2005,Burglary - Property,3. Burglary,71.0,257,1909368.0,13803082
Gujarat,2005,Burglary - Property,3. Burglary,1188.0,5140,67616775.0,254373304
Haryana,2005,Burglary - Property,3. Burglary,1527.0,3425,42714747.0,81885034
Himachal Pradesh,2005,Burglary - Property,3. Burglary,136.0,691,4125018.0,22867849
Jammu & Kashmir,2005,Burglary - Property,3. Burglary,209.0,1397,4920818.0,36077553
Jharkhand,2005,Burglary - Property,3. Burglary,259.0,1600,2045450.0,39496852
Karnataka,2005,Burglary - Property,3. Burglary,1688.0,5986,59175016.0,261321837
Kerala,2005,Burglary - Property,3. Burglary,939.0,3914,18941597.0,187698662
Lakshadweep,2005,Burglary - Property,3. Burglary,1.0,2,8410.0,20410
Madhya Pradesh,2005,Burglary - Property,3. Burglary,3607.0,11192,43951572.0,154604344
Maharashtra,2005,Burglary - Property,3. Burglary,4058.0,14735,99149466.0,619891309
Manipur,2005,Burglary - Property,3. Burglary,3.0,62,95970.0,3075030
Meghalaya,2005,Burglary - Property,3. Burglary,19.0,137,186546.0,1263497
Mizoram,2005,Burglary - Property,3. Burglary,289.0,442,9467342.0,14738682
Nagaland,2005,Burglary - Property,3. Burglary,17.0,93,545015.0,1278742
Odisha,2005,Burglary - Property,3. Burglary,1308.0,3029,14704375.0,61917823
Puducherry,2005,Burglary - Property,3. Burglary,42.0,67,1183747.0,2103597
Punjab,2005,Burglary - Property,3. Burglary,922.0,1933,38668978.0,98977795
Rajasthan,2005,Burglary - Property,3. Burglary,1657.0,5003,46405671.0,116980671
Sikkim,2005,Burglary - Property,3. Burglary,13.0,79,150690.0,1518042
Tamil Nadu,2005,Burglary - Property,3. Burglary,2568.0,3738,54017794.0,94231495
Tripura,2005,Burglary - Property,3. Burglary,31.0,170,1295865.0,4725332
Uttar Pradesh,2005,Burglary - Property,3. Burglary,853.0,3496,87349812.0,166454751
Uttarakhand,2005,Burglary - Property,3. Burglary,99.0,489,1348660.0,12112071
West Bengal,2005,Burglary - Property,3. Burglary,137.0,739,3379931.0,19919581
Andaman & Nicobar Islands,2006,Burglary - Property,3. Burglary,25.0,82,888107.0,2605702
Andhra Pradesh,2006,Burglary - Property,3. Burglary,3450.0,8169,142717661.0,310621897
Arunachal Pradesh,2006,Burglary - Property,3. Burglary,87.0,257,2558587.0,12667956
Assam,2006,Burglary - Property,3. Burglary,557.0,2911,9818045.0,35783913
Bihar,2006,Burglary - Property,3. Burglary,362.0,3531,3180927.0,36841471
Chandigarh,2006,Burglary - Property,3. Burglary,98.0,189,2923970.0,6810631
Chhattisgarh,2006,Burglary - Property,3. Burglary,1070.0,3507,8717499.0,74386571
Dadra & Nagar Haveli,2006,Burglary - Property,3. Burglary,12.0,41,971220.0,3752927
Daman & Diu,2006,Burglary - Property,3. Burglary,8.0,60,1405190.0,6367320
Delhi,2006,Burglary - Property,3. Burglary,893.0,1950,14994976.0,114401072
Goa,2006,Burglary - Property,3. Burglary,48.0,230,3338956.0,18460149
Gujarat,2006,Burglary - Property,3. Burglary,1405.0,5363,32600847.0,299427287
Haryana,2006,Burglary - Property,3. Burglary,1760.0,3996,41950479.0,107827743
Himachal Pradesh,2006,Burglary - Property,3. Burglary,136.0,732,6597727.0,31873315
Jammu & Kashmir,2006,Burglary - Property,3. Burglary,189.0,1351,3765294.0,32683515
Jharkhand,2006,Burglary - Property,3. Burglary,234.0,1428,2129927.0,21269610
Karnataka,2006,Burglary - Property,3. Burglary,1775.0,5967,63562444.0,234363867
Kerala,2006,Burglary - Property,3. Burglary,846.0,3948,26865098.0,237675908
Lakshadweep,2006,Burglary - Property,3. Burglary,1.0,2,10000.0,28200
Madhya Pradesh,2006,Burglary - Property,3. Burglary,3140.0,10729,35645450.0,175701398
Maharashtra,2006,Burglary - Property,3. Burglary,4012.0,14723,99357595.0,688724735
Manipur,2006,Burglary - Property,3. Burglary,0.0,55,0.0,3800658
Meghalaya,2006,Burglary - Property,3. Burglary,27.0,140,290370.0,3771145
Mizoram,2006,Burglary - Property,3. Burglary,269.0,408,3274525.0,15662205
Nagaland,2006,Burglary - Property,3. Burglary,25.0,68,958091.0,42221157
Odisha,2006,Burglary - Property,3. Burglary,1425.0,3118,17798514.0,84174508
Puducherry,2006,Burglary - Property,3. Burglary,46.0,84,1104955.0,2477094
Punjab,2006,Burglary - Property,3. Burglary,955.0,2277,25846606.0,115272477
Rajasthan,2006,Burglary - Property,3. Burglary,1678.0,4879,51924184.0,136663767
Sikkim,2006,Burglary - Property,3. Burglary,13.0,84,100500.0,2703436
Tamil Nadu,2006,Burglary - Property,3. Burglary,2291.0,3300,79307801.0,125033409
Tripura,2006,Burglary - Property,3. Burglary,115.0,182,2210714.0,4891139
Uttar Pradesh,2006,Burglary - Property,3. Burglary,880.0,3545,119979317.0,231897742
Uttarakhand,2006,Burglary - Property,3. Burglary,114.0,410,4488841.0,14234550
West Bengal,2006,Burglary - Property,3. Burglary,138.0,601,3981448.0,13223258
Andaman & Nicobar Islands,2007,Burglary - Property,3. Burglary,21.0,90,715116.0,3173066
Andhra Pradesh,2007,Burglary - Property,3. Burglary,3827.0,7609,85999945.0,265927102
Arunachal Pradesh,2007,Burglary - Property,3. Burglary,90.0,240,4211030.0,11311656
Assam,2007,Burglary - Property,3. Burglary,491.0,2603,5730761.0,36285212
Bihar,2007,Burglary - Property,3. Burglary,294.0,3259,3910175.0,56610107
Chandigarh,2007,Burglary - Property,3. Burglary,63.0,191,2197700.0,8182250
Chhattisgarh,2007,Burglary - Property,3. Burglary,1164.0,3632,11248886.0,52170119
Dadra & Nagar Haveli,2007,Burglary - Property,3. Burglary,6.0,28,684570.0,5444419
Daman & Diu,2007,Burglary - Property,3. Burglary,4.0,46,1918200.0,10058460
Delhi,2007,Burglary - Property,3. Burglary,981.0,2055,8374449.0,142856412
Goa,2007,Burglary - Property,3. Burglary,49.0,271,1468865.0,26963400
Gujarat,2007,Burglary - Property,3. Burglary,1230.0,4747,44679310.0,240405506
Haryana,2007,Burglary - Property,3. Burglary,1762.0,4231,48001068.0,150481239
Himachal Pradesh,2007,Burglary - Property,3. Burglary,144.0,831,4843695.0,35526149
Jammu & Kashmir,2007,Burglary - Property,3. Burglary,295.0,1458,9884179.0,43615181
Jharkhand,2007,Burglary - Property,3. Burglary,194.0,1489,2212553.0,23190276
Karnataka,2007,Burglary - Property,3. Burglary,1985.0,5449,75589467.0,266947170
Kerala,2007,Burglary - Property,3. Burglary,1035.0,3824,19975794.0,326981272
Lakshadweep,2007,Burglary - Property,3. Burglary,0.0,2,0.0,21500
Madhya Pradesh,2007,Burglary - Property,3. Burglary,3445.0,11230,37539294.0,199867229
Maharashtra,2007,Burglary - Property,3. Burglary,4120.0,14771,231671814.0,1034246567
Manipur,2007,Burglary - Property,3. Burglary,1.0,70,12000.0,4379199
Meghalaya,2007,Burglary - Property,3. Burglary,121.0,203,878586.0,6501195
Mizoram,2007,Burglary - Property,3. Burglary,279.0,424,9553498.0,18614005
Nagaland,2007,Burglary - Property,3. Burglary,12.0,118,175860.0,3649018
Odisha,2007,Burglary - Property,3. Burglary,1342.0,3073,12767910.0,93810550
Puducherry,2007,Burglary - Property,3. Burglary,36.0,86,970520.0,6656261
Punjab,2007,Burglary - Property,3. Burglary,1032.0,2616,31338421.0,167088865
Rajasthan,2007,Burglary - Property,3. Burglary,1634.0,4951,72297141.0,166591147
Sikkim,2007,Burglary - Property,3. Burglary,17.0,83,529090.0,2796950
Tamil Nadu,2007,Burglary - Property,3. Burglary,2613.0,3717,79980333.0,132086451
Tripura,2007,Burglary - Property,3. Burglary,38.0,193,2386125.0,7024543
Uttar Pradesh,2007,Burglary - Property,3. Burglary,996.0,3869,39582906.0,119989378
Uttarakhand,2007,Burglary - Property,3. Burglary,146.0,508,5773177.0,23893784
West Bengal,2007,Burglary - Property,3. Burglary,87.0,399,1788155.0,24526576
Andaman & Nicobar Islands,2008,Burglary - Property,3. Burglary,35.0,78,1671141.0,2940686
Andhra Pradesh,2008,Burglary - Property,3. Burglary,3832.0,8219,105204037.0,320442778
Arunachal Pradesh,2008,Burglary - Property,3. Burglary,92.0,245,2926035.0,7156154
Assam,2008,Burglary - Property,3. Burglary,666.0,3147,17965749.0,66185132
Bihar,2008,Burglary - Property,3. Burglary,288.0,3414,3698886.0,43776678
Chandigarh,2008,Burglary - Property,3. Burglary,98.0,257,2380893.0,12238993
Chhattisgarh,2008,Burglary - Property,3. Burglary,1227.0,4112,17704020.0,80298616
Dadra & Nagar Haveli,2008,Burglary - Property,3. Burglary,19.0,49,1794785.0,6242259
Daman & Diu,2008,Burglary - Property,3. Burglary,9.0,45,1340800.0,22602575
Delhi,2008,Burglary - Property,3. Burglary,485.0,1926,5796997.0,109940832
Goa,2008,Burglary - Property,3. Burglary,84.0,291,3630962.0,19170722
Gujarat,2008,Burglary - Property,3. Burglary,1430.0,4932,59048428.0,339401791
Haryana,2008,Burglary - Property,3. Burglary,1579.0,4249,42033932.0,125403133
Himachal Pradesh,2008,Burglary - Property,3. Burglary,151.0,872,9661388.0,41861345
Jammu & Kashmir,2008,Burglary - Property,3. Burglary,272.0,1332,11130990.0,59730434
Jharkhand,2008,Burglary - Property,3. Burglary,188.0,1375,1795681.0,21482618
Karnataka,2008,Burglary - Property,3. Burglary,1766.0,6258,94543552.0,466383124
Kerala,2008,Burglary - Property,3. Burglary,1037.0,3533,25512674.0,229243049
Lakshadweep,2008,Burglary - Property,3. Burglary,1.0,3,90000.0,170000
Madhya Pradesh,2008,Burglary - Property,3. Burglary,3600.0,11072,41839086.0,211486284
Maharashtra,2008,Burglary - Property,3. Burglary,4383.0,15170,157981978.0,1032152787
Manipur,2008,Burglary - Property,3. Burglary,1.0,76,8000.0,5093017
Meghalaya,2008,Burglary - Property,3. Burglary,58.0,166,1669387.0,10597971
Mizoram,2008,Burglary - Property,3. Burglary,242.0,337,3117519.0,4783226
Nagaland,2008,Burglary - Property,3. Burglary,15.0,120,311600.0,67628375
Odisha,2008,Burglary - Property,3. Burglary,1232.0,3064,18652216.0,108586553
Puducherry,2008,Burglary - Property,3. Burglary,50.0,90,3810322.0,5486940
Punjab,2008,Burglary - Property,3. Burglary,1170.0,2621,66341932.0,176012188
Rajasthan,2008,Burglary - Property,3. Burglary,1591.0,4526,64937309.0,156179875
Sikkim,2008,Burglary - Property,3. Burglary,17.0,81,277651.0,2678956
Tamil Nadu,2008,Burglary - Property,3. Burglary,2460.0,3849,81315722.0,148377321
Tripura,2008,Burglary - Property,3. Burglary,71.0,218,411025.0,8867006
Uttar Pradesh,2008,Burglary - Property,3. Burglary,1182.0,4142,294258481.0,402284871
Uttarakhand,2008,Burglary - Property,3. Burglary,144.0,376,3439522.0,17604646
West Bengal,2008,Burglary - Property,3. Burglary,109.0,462,9090647.0,26328271
Andaman & Nicobar Islands,2009,Burglary - Property,3. Burglary,29.0,86,2269980.0,4793680
Andhra Pradesh,2009,Burglary - Property,3. Burglary,3416.0,7702,106540830.0,372576517
Arunachal Pradesh,2009,Burglary - Property,3. Burglary,89.0,201,156360345.0,159726496
Assam,2009,Burglary - Property,3. Burglary,445.0,3149,12984924.0,56531036
Bihar,2009,Burglary - Property,3. Burglary,329.0,3566,4157497.0,55027421
Chandigarh,2009,Burglary - Property,3. Burglary,48.0,241,1786400.0,15450340
Chhattisgarh,2009,Burglary - Property,3. Burglary,1278.0,3975,23436476.0,107702392
Dadra & Nagar Haveli,2009,Burglary - Property,3. Burglary,13.0,43,1270375.0,4853240
Daman & Diu,2009,Burglary - Property,3. Burglary,7.0,33,3242500.0,7972502
Delhi,2009,Burglary - Property,3. Burglary,521.0,1733,30852082.0,252397901
Goa,2009,Burglary - Property,3. Burglary,71.0,283,7598920.0,33425540
Gujarat,2009,Burglary - Property,3. Burglary,1269.0,4385,54175506.0,284188989
Haryana,2009,Burglary - Property,3. Burglary,1470.0,4077,45697180.0,157613697
Himachal Pradesh,2009,Burglary - Property,3. Burglary,136.0,779,4198707.0,48552609
Jammu & Kashmir,2009,Burglary - Property,3. Burglary,332.0,1550,14636419.0,68121065
Jharkhand,2009,Burglary - Property,3. Burglary,211.0,1392,2696624.0,24899098
Karnataka,2009,Burglary - Property,3. Burglary,1865.0,6629,243264403.0,463183202
Kerala,2009,Burglary - Property,3. Burglary,1186.0,3301,246436586.0,429911619
Lakshadweep,2009,Burglary - Property,3. Burglary,0.0,1,0.0,300000
Madhya Pradesh,2009,Burglary - Property,3. Burglary,3123.0,10661,43077627.0,243536207
Maharashtra,2009,Burglary - Property,3. Burglary,4194.0,15145,149327777.0,1039474153
Manipur,2009,Burglary - Property,3. Burglary,2.0,68,120000.0,6881996
Meghalaya,2009,Burglary - Property,3. Burglary,40.0,135,873070.0,3509319
Mizoram,2009,Burglary - Property,3. Burglary,198.0,381,20729355.0,34010675
Nagaland,2009,Burglary - Property,3. Burglary,5.0,82,208400.0,5215330
Odisha,2009,Burglary - Property,3. Burglary,1029.0,2937,19859140.0,201568864
Puducherry,2009,Burglary - Property,3. Burglary,46.0,71,3401445.0,5541789
Punjab,2009,Burglary - Property,3. Burglary,1017.0,2507,66717698.0,195157605
Rajasthan,2009,Burglary - Property,3. Burglary,1654.0,5022,113439012.0,257626988
Sikkim,2009,Burglary - Property,3. Burglary,23.0,93,474910.0,4691401
Tamil Nadu,2009,Burglary - Property,3. Burglary,2670.0,4221,95741975.0,187905915
Tripura,2009,Burglary - Property,3. Burglary,56.0,230,1981425.0,6880296
Uttar Pradesh,2009,Burglary - Property,3. Burglary,1070.0,4084,48291629.0,149793453
Uttarakhand,2009,Burglary - Property,3. Burglary,127.0,276,4102913.0,14014734
West Bengal,2009,Burglary - Property,3. Burglary,70.0,329,2366488.0,26868906
Andaman & Nicobar Islands,2010,Burglary - Property,3. Burglary,34.0,80,657512.0,1955919
Andhra Pradesh,2010,Burglary - Property,3. Burglary,4125.0,8126,167645552.0,455774882
Arunachal Pradesh,2010,Burglary - Property,3. Burglary,68.0,211,5064245.0,13423241
Assam,2010,Burglary - Property,3. Burglary,316.0,3458,5554079.0,36025717
Bihar,2010,Burglary - Property,3. Burglary,337.0,3437,5194263.0,55766542
Chandigarh,2010,Burglary - Property,3. Burglary,86.0,236,2908560.0,13877193
Chhattisgarh,2010,Burglary - Property,3. Burglary,1190.0,3711,21946160.0,107637049
Dadra & Nagar Haveli,2010,Burglary - Property,3. Burglary,15.0,25,864969.0,1563407
Daman & Diu,2010,Burglary - Property,3. Burglary,7.0,27,608500.0,4866090
Delhi,2010,Burglary - Property,3. Burglary,434.0,1502,9959580.0,187493962
Goa,2010,Burglary - Property,3. Burglary,63.0,344,2767165.0,35912213
Gujarat,2010,Burglary - Property,3. Burglary,1085.0,3850,57003755.0,280852404
Haryana,2010,Burglary - Property,3. Burglary,1442.0,4445,46370810.0,165957683
Himachal Pradesh,2010,Burglary - Property,3. Burglary,131.0,743,16611843.0,61646681
Jammu & Kashmir,2010,Burglary - Property,3. Burglary,325.0,1385,12268021.0,61950557
